WARNING: Vertica suggests allowing 1 open file per MB of memory, minimum of 65536; see 'ulimit -n'.

The minimum required I/O is 20 MB/s read and write per physical processor core on each node, in full duplex i.e. reading and writing at this rate simultaneously, concurrently on all nodes of the cluster. The recommended I/O is 40 MB/s per physical core on each node. For example, the I/O rate for a server node with 2 hyper-threaded six-core CPUs is 240 MB/s required minimum, 480 MB/s recommended.

Using direct io (buffer size=1048576, alignment=512) for directory "/tmp"

test      | directory                                       | counter name        | counter value       | counter value (1 sec avg)       | counter value/core  | counter value/core (1 sec avg)  | thread count  | %CPU  | %IO Wait  | elapsed time (s)| remaining time (s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Write     | /tmp                                            | MB/s                | 233                 | 233                             | 14.5625             | 14.5625                         | 16            | 2     | 28        | 1               | 29              
Write     | /tmp                                            | MB/s                | 226                 | 233                             | 14.125              | 14.5625                         | 16            | 2     | 28        | 2               | 28              
Write     | /tmp                                            | MB/s                | 224                 | 235                             | 14                  | 14.6875                         | 16            | 2     | 28        | 3               | 27              
Write     | /tmp                                            | MB/s                | 224                 | 230                             | 14                  | 14.375                          | 16            | 2     | 28        | 4               | 26              
Write     | /tmp                                            | MB/s                | 224                 | 233                             | 14                  | 14.5625                         | 16            | 2     | 29        | 5               | 25              
Write     | /tmp                                            | MB/s                | 224                 | 231                             | 14                  | 14.4375                         | 16            | 2     | 28        | 6               | 24              
Write     | /tmp                                            | MB/s                | 224                 | 233                             | 14                  | 14.5625                         | 16            | 2     | 28        | 7               | 23              
Write     | /tmp                                            | MB/s                | 224                 | 236                             | 14                  | 14.75                           | 16            | 2     | 28        | 8               | 22              
Write     | /tmp                                            | MB/s                | 224                 | 232                             | 14                  | 14.5                            | 16            | 2     | 28        | 9               | 21              
Write     | /tmp                                            | MB/s                | 224                 | 233                             | 14                  | 14.5625                         | 16            | 2     | 29        | 10              | 20              
Write     | /tmp                                            | MB/s                | 224                 | 234                             | 14                  | 14.625                          | 16            | 2     | 28        | 11              | 19              
Write     | /tmp                                            | MB/s                | 224                 | 231                             | 14                  | 14.4375                         | 16            | 2     | 28        | 12              | 18              
Write     | /tmp                                            | MB/s                | 224                 | 234                             | 14                  | 14.625                          | 16            | 2     | 28        | 13              | 17              
Write     | /tmp                                            | MB/s                | 224                 | 234                             | 14                  | 14.625                          | 16            | 2     | 28        | 14              | 16              
Write     | /tmp                                            | MB/s                | 224                 | 233                             | 14                  | 14.5625                         | 16            | 2     | 29        | 15              | 15              
Write     | /tmp                                            | MB/s                | 224                 | 232                             | 14                  | 14.5                            | 16            | 2     | 28        | 16              | 14              
Write     | /tmp                                            | MB/s                | 224                 | 239                             | 14                  | 14.9375                         | 16            | 2     | 28        | 17              | 13              
Write     | /tmp                                            | MB/s                | 224                 | 234                             | 14                  | 14.625                          | 16            | 2     | 28        | 18              | 12              
Write     | /tmp                                            | MB/s                | 224                 | 231                             | 14                  | 14.4375                         | 16            | 2     | 28        | 19              | 11              
Write     | /tmp                                            | MB/s                | 224                 | 235                             | 14                  | 14.6875                         | 16            | 2     | 28        | 20              | 10              
Write     | /tmp                                            | MB/s                | 224                 | 231                             | 14                  | 14.4375                         | 16            | 2     | 25        | 21              | 9               
Write     | /tmp                                            | MB/s                | 224                 | 234                             | 14                  | 14.625                          | 16            | 2     | 25        | 22              | 8               
Write     | /tmp                                            | MB/s                | 224                 | 233                             | 14                  | 14.5625                         | 16            | 2     | 25        | 23              | 7               
Write     | /tmp                                            | MB/s                | 224                 | 230                             | 14                  | 14.375                          | 16            | 2     | 25        | 24              | 6               
Write     | /tmp                                            | MB/s                | 224                 | 233                             | 14                  | 14.5625                         | 16            | 2     | 26        | 25              | 5               
Write     | /tmp                                            | MB/s                | 224                 | 234                             | 14                  | 14.625                          | 16            | 2     | 25        | 26              | 4               
Write     | /tmp                                            | MB/s                | 224                 | 234                             | 14                  | 14.625                          | 16            | 2     | 25        | 27              | 3               
Write     | /tmp                                            | MB/s                | 224                 | 231                             | 14                  | 14.4375                         | 16            | 2     | 25        | 28              | 2               
Write     | /tmp                                            | MB/s                | 224                 | 231                             | 14                  | 14.4375                         | 16            | 2     | 25        | 29              | 1               
Write     | /tmp                                            | MB/s                | 224                 | 248                             | 14                  | 15.5                            | 16            | 2     | 25        | 30              | 0               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 113+113             | 113+113                         | 7.0625+7.0625       | 7.0625+7.0625                   | 16            | 1     | 27        | 1               | 29              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 112+112             | 116+116                         | 7+7                 | 7.25+7.25                       | 16            | 1     | 26        | 2               | 28              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 112+112             | 112+112                         | 7+7                 | 7+7                             | 16            | 1     | 27        | 3               | 27              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 110+110             | 107+107                         | 6.875+6.875         | 6.6875+6.6875                   | 16            | 1     | 27        | 4               | 26              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 104+104             | 104+104                         | 6.5+6.5             | 6.5+6.5                         | 16            | 1     | 27        | 5               | 25              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 99+99               | 105+105                         | 6.1875+6.1875       | 6.5625+6.5625                   | 16            | 1     | 24        | 6               | 24              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 97+97               | 109+109                         | 6.0625+6.0625       | 6.8125+6.8125                   | 16            | 1     | 24        | 7               | 23              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 106+106                         | 6+6                 | 6.625+6.625                     | 16            | 1     | 24        | 8               | 22              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 107+107                         | 6+6                 | 6.6875+6.6875                   | 16            | 1     | 24        | 9               | 21              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 112+112                         | 6+6                 | 7+7                             | 16            | 1     | 23        | 10              | 20              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 105+105                         | 6+6                 | 6.5625+6.5625                   | 16            | 1     | 20        | 11              | 19              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 111+111                         | 6+6                 | 6.9375+6.9375                   | 16            | 1     | 21        | 12              | 18              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 103+103                         | 6+6                 | 6.4375+6.4375                   | 16            | 1     | 20        | 13              | 17              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 108+108                         | 6+6                 | 6.75+6.75                       | 16            | 1     | 21        | 14              | 16              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 107+107                         | 6+6                 | 6.6875+6.6875                   | 16            | 1     | 20        | 15              | 15              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 108+108                         | 6+6                 | 6.75+6.75                       | 16            | 1     | 18        | 16              | 14              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 108+108                         | 6+6                 | 6.75+6.75                       | 16            | 1     | 18        | 17              | 13              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 109+109                         | 6+6                 | 6.8125+6.8125                   | 16            | 1     | 17        | 18              | 12              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 109+109                         | 6+6                 | 6.8125+6.8125                   | 16            | 1     | 18        | 19              | 11              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 106+106                         | 6+6                 | 6.625+6.625                     | 16            | 1     | 18        | 20              | 10              
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 106+106                         | 6+6                 | 6.625+6.625                     | 16            | 1     | 18        | 21              | 9               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 106+106                         | 6+6                 | 6.625+6.625                     | 16            | 1     | 18        | 22              | 8               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 109+109                         | 6+6                 | 6.8125+6.8125                   | 16            | 1     | 18        | 23              | 7               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 107+107                         | 6+6                 | 6.6875+6.6875                   | 16            | 1     | 18        | 24              | 6               
ReWrite   | /tmp                                            | (MB-read+MB-write)/s| 96+96               | 107+107                         | 6+6                 | 6.6875+6.6875                   | 16            | 1     | 18        | 25              | 5               
